,Ano,UF,Domicilio_com_internet,celular_com_internet,Uso_de_3G_ou_4G,internet_banda_larga,microcomputador,Tablet,outro_equipamento,Renda_mensal
118533,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,1333.0
118534,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Não,Não,Não,1848.0
118535,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,520.0
118536,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,1766.0
118537,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1034.0
118538,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,1174.0
118539,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,850.0
118541,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1220.0
118544,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1316.0
118545,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Sim ,Não,1050.0
118547,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,2516.0
118549,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1400.0
118550,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,1931.0
118551,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1712.0
118552,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,3950.0
118554,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Sim ,9000.0
118555,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,670.0
118556,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,724.0
118557,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Sim ,1166.0
118560,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,1480.0
118561,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,2850.0
118562,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,4516.0
118563,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,3250.0
118565,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1366.0
118567,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,1250.0
118569,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,2000.0
118570,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,724.0
118573,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,400.0
118574,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,1333.0
118576,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1540.0
118582,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,333.0
118586,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1100.0
118588,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Não,Não,1308.0
118590,2014,Santa Catarina,Sim,Sim ,Sim ,Sim ,Sim ,Sim ,Não,2140.0
118592,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Sim ,Não,Não,2033.0
118596,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,833.0
118599,2014,Santa Catarina,Sim,Não,Não,Sim ,Não,Sim ,Não,908.0
118602,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1375.0
118603,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1200.0
118604,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,687.0
118605,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1080.0
118607,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,1737.0
118609,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,1175.0
118610,2014,Santa Catarina,Sim,Sim ,Sim ,Não,Não,Não,Não,1016.0
118612,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Sim ,Não,937.0
118614,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,1182.0
118615,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Sim ,Não,Não,3000.0
118616,2014,Santa Catarina,Sim,Não,Não,Sim ,Sim ,Não,Não,333.0
118617,2014,Santa Catarina,Sim,Sim ,Não,Sim ,Não,Não,Não,795.0
