,Ano,UF,Tv_assinatura,TV_antena_parabolica,Domicilio_com_internet,celular_com_internet,Uso_de_3G_ou_4G,internet_banda_larga,microcomputador,Tablet,outro_equipamento,Renda_mensal
118421,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1019.0
118422,2015,Santa Catarina,Sim,Sim,Sim,Sim,Não,Sim ,Não,Não,Não,1350.0
118426,2015,Santa Catarina,Sim,Sim,Sim,Não,Não,Sim ,Sim ,Não,Não,5500.0
118427,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,3075.0
118428,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,3162.0
118431,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,3000.0
118433,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,2025.0
118434,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Sim ,1350.0
118435,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1232.0
118436,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Sim ,1062.0
118437,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,3000.0
118439,2015,Santa Catarina,Sim,Sim,Sim,Não,Não,Sim ,Sim ,Não,Não,862.0
118441,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Não,Sim ,Não,Não,879.0
118442,2015,Santa Catarina,Sim,Sim,Sim,Sim,Sim ,Não,Não,Não,Não,2850.0
118443,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,4500.0
118444,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,13700.0
118446,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Não,Não,Não,2800.0
118451,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Não,Não,Sim ,Não,9150.0
118453,2015,Santa Catarina,Sim,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,2415.0
118458,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1766.0
118459,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Não,Não,Não,Não,1733.0
118460,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,966.0
118461,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Não,Não,Não,Não,289.0
118462,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,2200.0
118464,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,2100.0
118465,2015,Santa Catarina,Sim,Não,Sim,Sim,Não,Sim ,Não,Sim ,Não,5750.0
118467,2015,Santa Catarina,Sim,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1100.0
118469,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1350.0
118470,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,2300.0
118472,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1525.0
118474,2015,Santa Catarina,Sim,Não,Sim,Sim,Não,Sim ,Sim ,Não,Não,1000.0
118475,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1433.0
118477,2015,Santa Catarina,Sim,Não,Sim,Não,Não,Sim ,Sim ,Não,Não,700.0
118479,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,3488.0
118481,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,930.0
118483,2015,Santa Catarina,Sim,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1487.0
118485,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,2450.0
118487,2015,Santa Catarina,Sim,Não,Sim,Não,Não,Sim ,Sim ,Não,Não,8000.0
118488,2015,Santa Catarina,Sim,Não,Sim,Sim,Não,Sim ,Não,Não,Sim ,1475.0
118489,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,894.0
118490,2015,Santa Catarina,Sim,Não,Sim,Sim,Não,Sim ,Não,Não,Não,1066.0
118491,2015,Santa Catarina,Sim,Sim,Sim,Sim,Não,Sim ,Sim ,Não,Não,4150.0
118492,2015,Santa Catarina,Sim,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,692.0
118495,2015,Santa Catarina,Sim,Não,Sim,Não,Não,Sim ,Sim ,Não,Não,875.0
118496,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Não,Não,Não,Não,2175.0
118498,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1700.0
118499,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1066.0
118501,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,900.0
118503,2015,Santa Catarina,Sim,Não,Sim,Sim,Não,Sim ,Sim ,Sim ,Não,1250.0
118505,2015,Santa Catarina,Não,Sim,Sim,Sim,Não,Sim ,Sim ,Não,Não,3350.0
118506,2015,Santa Catarina,Sim,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,2366.0
118509,2015,Santa Catarina,Não,Sim,Sim,Sim,Não,Sim ,Sim ,Não,Não,1633.0
118511,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,650.0
118514,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Não,Não,Não,Não,1350.0
118516,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,807.0
118517,2015,Santa Catarina,Sim,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,4607.0
118518,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,900.0
118520,2015,Santa Catarina,Não,Sim,Sim,Não,Não,Sim ,Sim ,Não,Não,1125.0
118521,2015,Santa Catarina,Não,Sim,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1800.0
118523,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,1400.0
118524,2015,Santa Catarina,Não,Não,Sim,Sim,Sim ,Não,Sim ,Sim ,Não,1100.0
118527,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Sim ,Não,2100.0
118532,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Não,Não,Não,Não,862.0
118533,2015,Santa Catarina,Não,Sim,Sim,Sim,Não,Sim ,Sim ,Não,Não,1051.0
118535,2015,Santa Catarina,Sim,Sim,Sim,Sim,Não,Sim ,Sim ,Não,Não,2341.0
118536,2015,Santa Catarina,Sim,Não,Sim,Sim,Não,Sim ,Sim ,Não,Não,1853.0
118537,2015,Santa Catarina,Sim,Não,Sim,Sim,Não,Sim ,Não,Não,Não,790.0
118538,2015,Santa Catarina,Não,Não,Sim,Sim,Não,Sim ,Sim ,Não,Não,3333.0
118540,2015,Santa Catarina,Sim,Não,Sim,Sim,Sim ,Sim ,Sim ,Não,Não,2800.0
